"Title","ISSN","AEA","SCIMAGO","JCI"
"Business Ethics","0962-8770",NA,"X",NA
"Cahiers d'Economie Politique","1969-6779",NA,"X",NA
"Cambridge Journal of Economics","1464-3545",NA,"X",NA
"Cambridge Journal of Regions, Economy and Society","1752-1386",NA,"X",NA
"Canadian Journal of Agricultural Economics","1744-7976",NA,"X",NA
"Canadian Journal of Economics","1540-5982",NA,"X",NA
"Capital and Class","0309-8168",NA,"X",NA
"Capitalism and Society","2194-6140",NA,"X",NA
"Central Bank Review","2524-1699",NA,"X",NA
"Central European Journal of Economic Modelling and Econometrics","2080-0886",NA,"X",NA
"Central European Journal of Economic Modelling and Econometrics","2080-119X",NA,"X",NA
"CESifo DICE Report","1612-0663",NA,"X",NA
"CESifo Economic Studies","1612-7501",NA,"X",NA
"China Agricultural Economic Review","1756-1388",NA,"X",NA
"China Nonprofit Review","1876-5092",NA,"X",NA
"China Nonprofit Review","1876-5149",NA,"X",NA
"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa","1989-6816",NA,"X",NA
"Climate Change Economics","2010-0086",NA,"X",NA
"Cliometrica","1863-2513",NA,"X",NA
"Cogent Economics and Finance","2332-2039",NA,"X",NA
"Communications - Scientific Letters of the University of Zilina","1335-4205",NA,"X",NA
"Communications - Scientific Letters of the University of Zilina","2585-7878",NA,"X",NA
"Concurrences","1773-9578",NA,"X",NA
"Concurrences","2116-0090",NA,"X",NA
"Conflict Management and Peace Science","1549-9219",NA,"X",NA
"Constitutional Political Economy","1572-9966",NA,"X",NA
"Consumption Markets and Culture","1025-3866",NA,"X",NA
"Consumption Markets and Culture","1477-223X",NA,"X",NA
"Contemporary Chinese Political Economy and Strategic Relations","2410-9681",NA,"X",NA
"Contemporary Economic Policy","1465-7287",NA,"X",NA
"Contemporary Management Research","1813-5498",NA,"X",NA
"Contributions to Political Economy","1464-3588",NA,"X",NA
"Croatian Economic Survey","1846-3878",NA,"X",NA
"Croatian Operational Research Review","1848-9931",NA,"X",NA
"Cuadernos de Desarrollo Rural","2215-7727",NA,"X",NA
"Custos e Agronegocio On Line","1808-2882",NA,NA,"X"
"De Economist","1572-9982",NA,"X",NA
"Defence and Peace Economics","1476-8267",NA,"X",NA
"Developing Economies","1746-1049",NA,"X",NA
"Eastern Economic Journal","1939-4632",NA,"X",NA
"Eastern European Economics","1557-9298",NA,"X",NA
"Econometric Reviews","1532-4168",NA,"X",NA
"Econometric Theory","1469-4360",NA,"X",NA
"Econometrica","1468-0262",NA,"X",NA
"Econometrics and Statistics","2452-3062",NA,"X",NA
"Economia Agro-Alimentare","1972-4802",NA,"X",NA
"Economia Politica","1973-820X",NA,"X",NA
"Economia y Politica","0719-4714",NA,"X",NA
"Economia y Politica","0719-4803",NA,"X",NA
"Economic and Labour Relations Review","1838-2673",NA,"X",NA
"Economic and Political Studies","2095-4816",NA,"X",NA
"Economic and Political Studies","2470-4024",NA,"X",NA
"Economic Change and Restructuring","1574-0277",NA,"X",NA
"Economic Computation and Economic Cybernetics Studies and Research","0585-7511",NA,"X",NA
"Economic Development and Cultural Change","1539-2988",NA,"X",NA
"Economic Development Quarterly","1552-3543",NA,"X",NA
"Economic History of Developing Regions","2078-0389",NA,"X",NA
"Economic History of Developing Regions","2078-0397",NA,"X",NA
"Economic History Review","1468-0289",NA,"X",NA
"Economic Inquiry","1465-7295",NA,"X",NA
"Economic Journal","1468-0297",NA,"X",NA
"Economic Notes","1468-0300",NA,"X",NA
"Economic Outlook","1468-0319",NA,"X",NA
"Economic Policy","1468-0327",NA,"X",NA
"Economic Record","1475-4932",NA,"X",NA
"Economic Research-Ekonomska Istrazivanja","1331-677X",NA,"X","X"
"Economic Research-Ekonomska Istrazivanja","1848-9664",NA,"X",NA
"Economic Systems Research","1469-5758",NA,"X",NA
"Economic Theory","1432-0479",NA,"X",NA
"Economic Thought","2049-3509",NA,"X",NA
"Economica","1468-0335",NA,"X",NA
"Economics and Philosophy","1474-0028",NA,"X",NA
"Economics and Policy of Energy and the Environment","2280-7667",NA,"X",NA
"Economics and Politics","1468-0343",NA,"X",NA
"Economics of Energy and Environmental Policy","2160-5890",NA,"X",NA
"Economics of Transition","1468-0351",NA,"X",NA
"Economie et Statistique","1777-5574",NA,"X",NA
"Economist","0013-0613",NA,"X",NA
"Economy and Society","1469-5766",NA,"X",NA
"Education Economics","1469-5782",NA,"X",NA
"Ekonomia i Srodowisko","0867-8898",NA,"X",NA
"Ekonomia i Srodowisko","2300-6420",NA,"X",NA
"Ekonomicheskaya Politika","1994-5124",NA,"X",NA
"Ekonomicheskaya Politika","2411-2658",NA,"X",NA
"Ekonomicheskaya Sotsiologiya","1726-3247",NA,"X",NA
"Ekonomista","0013-3205",NA,"X",NA
"Electronic Markets","1019-6781",NA,"X",NA
"Electronic Markets","1422-8890",NA,"X",NA
"Emerald Emerging Markets Case Studies","2045-0621",NA,"X",NA
"Emerging Markets Review","1873-6173",NA,"X",NA
"Empirica","1573-6911",NA,"X",NA
"Empirical Economics","1435-8921",NA,"X",NA
"Energy Economics","1873-6181",NA,"X",NA
"Energy Systems","1868-3967",NA,"X",NA
"Energy Systems","1868-3975",NA,"X",NA
"Engineering Economics","1392-2785",NA,"X","X"
"Engineering Economist","1547-2701",NA,"X",NA
"Entrepreneurship and Regional Development","1464-5114",NA,"X",NA
"Entrepreneurship: Theory and Practice","1042-2587",NA,"X",NA
"Entrepreneurship: Theory and Practice","1540-6520",NA,"X",NA
"Environment and Development Economics","1469-4395",NA,"X",NA
"Environment, Development and Sustainability","1387-585X",NA,"X",NA
"Environment, Development and Sustainability","1573-2975",NA,"X",NA
"Environmental and Resource Economics","1573-1502",NA,"X",NA
"Environmental Economics and Policy Studies","1867-383X",NA,"X",NA
"Estudios de Economia","0718-5286",NA,"X","X"
"Estudios Frontizeros","2395-9134",NA,"X",NA
"Etudes Rurales","0014-2182",NA,"X",NA
"Europe-Asia Studies","0966-8136",NA,"X","X"
"Europe-Asia Studies","1465-3427",NA,"X",NA
"European Actuarial Journal","2190-9733",NA,"X",NA
"European Actuarial Journal","2190-9741",NA,"X",NA
"European Journal of Economics and Economic Policies: Intervention","2052-7772",NA,"X",NA
"European Journal of Law and Economics","1572-9990",NA,"X",NA
"European Review of Agricultural Economics","1464-3618",NA,"X",NA
"Feminist Economics","1466-4372",NA,"X",NA
"Financial Review","1540-6288",NA,"X",NA
"Fiscal Studies","1475-5890",NA,"X",NA
"Forest Policy and Economics","1389-9341",NA,"X","X"
"Fortune","0015-8259",NA,"X",NA
"Forum for Social Economics, The","0736-0932",NA,"X",NA
"Forum for Social Economics, The","1874-6381",NA,"X",NA
"Foundations and Trends in Econometrics","1551-3076",NA,"X",NA
"Foundations and Trends in Econometrics","1551-3084",NA,"X",NA
"Foundations and Trends in Entrepreneurship","1551-3114",NA,"X",NA
"Foundations and Trends in Entrepreneurship","1551-3122",NA,"X",NA
"Foundations and Trends in Finance","1567-2395",NA,"X",NA
"Foundations and Trends in Finance","1567-2409",NA,"X",NA
"Foundations and Trends in Marketing","1555-0753",NA,"X",NA
"Foundations and Trends in Marketing","1555-0761",NA,"X",NA
"Foundations and Trends in Microeconomics","1547-9846",NA,"X",NA
"Foundations and Trends in Microeconomics","1547-9854",NA,"X",NA
"Frontiers in Energy Research","2296-598X",NA,"X",NA
"Frontiers of Economics in China","1673-3568",NA,"X",NA
"Fuels and Lubes International","0117-9470",NA,"X",NA
"FUTURES","0016-3287",NA,NA,"X"
"Gadjah Mada International Journal of Business","2338-7238",NA,"X",NA
"Games and Economic Behavior","1090-2473",NA,"X",NA
"Geneva Papers on Risk and Insurance: Issues and Practice","1468-0440",NA,"X",NA
"GENEVA Risk and Insurance Review","1554-9658",NA,"X",NA
"Geographie Economie Societe","1295-926X",NA,"X",NA
"German Economic Review","1468-0475",NA,"X",NA
"German Journal of Agricultural Economics","2191-4028",NA,"X",NA
"Global Business and Economics Review","1745-1329",NA,"X",NA
"Global Policy","1758-5880",NA,"X",NA
"Global Policy","1758-5899",NA,"X",NA
"Graziadio Business Report","1939-1633",NA,"X",NA
"Graziadio Business Review","2159-2977",NA,"X",NA
"Harvard Business Review","0017-8012",NA,"X",NA
"Health Economics Review","2191-1991",NA,NA,"X"
"Historical Studies in Industrial Relations","1362-1572",NA,"X",NA
"Historical Studies in Industrial Relations","2049-4459",NA,"X",NA
"History of Economic Ideas","1724-2169",NA,"X",NA
"History of Economic Thought and Policy","2280-188X",NA,"X",NA
"History of Political Economy","1527-1919",NA,"X",NA
"IIMB Management Review","0970-3896",NA,"X",NA
"Indian Economic and Social History Review","0973-0893",NA,"X",NA
"Indian Growth and Development Review","1753-8262",NA,"X",NA
"Indian Journal of Labour Economics","0019-5308",NA,"X",NA
"Industrial and Corporate Change","1464-3650",NA,"X",NA
"International and Multidisciplinary Journal of Social Sciences","2014-3680",NA,"X",NA
"International Economic Review","1468-2354",NA,"X",NA
"International Economics and Economic Policy","0020-5230",NA,"X",NA
"International Environmental Agreements: Politics, Law and Economics","1567-9764",NA,"X","X"
"International Environmental Agreements: Politics, Law and Economics","1573-1553",NA,"X",NA
"International Journal of Agricultural Management","2047-3710",NA,"X",NA
"International Journal of Agricultural Sustainability","1473-5903",NA,"X",NA
"International Journal of Agricultural Sustainability","1747-762X",NA,"X",NA
"International Journal of Applied Decision Sciences","1755-8077",NA,"X",NA
"International Journal of Applied Decision Sciences","1755-8085",NA,"X",NA
"International Journal of Banking, Accounting and Finance","1755-3849",NA,"X",NA
"International Journal of Biological Macromolecules","0141-8130",NA,"X",NA
"International Journal of Biological Macromolecules","1879-0003",NA,"X",NA
"International Journal of Business and Emerging Markets","1753-6227",NA,"X",NA
"International Journal of Business and Management Science","1837-6614",NA,"X",NA
"International Journal of Business and Management Science","1985-692X",NA,"X",NA
"International Journal of Business and Society","1511-6670",NA,"X",NA
"International Journal of Central Banking","1815-7556",NA,"X",NA
"International Journal of Computational Economics and Econometrics","1757-1189",NA,"X",NA
"International Journal of Consumer Studies","1470-6423",NA,"X",NA
"International Journal of Consumer Studies","1470-6431",NA,"X",NA
"International Journal of Development Issues","1758-8553",NA,"X",NA
"International Journal of Disclosure and Governance","1741-3591",NA,"X",NA
"International Journal of Disclosure and Governance","1746-6539",NA,"X",NA
"International Journal of Ecological Economics and Statistics (discontinued)","0973-7537",NA,"X",NA
"International Journal of Economic Policy in Emerging Economies","1752-0460",NA,"X",NA
"International Journal of Economic Theory","1742-7363",NA,"X",NA
"International Journal of Electronic Commerce","1086-4415",NA,"X",NA
"International Journal of Electronic Commerce","1557-9301",NA,"X",NA
"International Journal of Emerging Markets","1746-8809",NA,NA,"X"
"International Journal of Entrepreneurship","1099-9264",NA,"X",NA
"International Journal of Entrepreneurship","1939-4675",NA,"X",NA
"International Journal of Entrepreneurship and Innovation Management","1368-275X",NA,"X",NA
"International Journal of Entrepreneurship and Innovation Management","1741-5098",NA,"X",NA
"International Journal of Entrepreneurship and Small Business","1476-1297",NA,"X",NA
"International Journal of Entrepreneurship and Small Business","1741-8054",NA,"X",NA
"International Journal of Euro-Mediterranean Studies","1855-3362",NA,"X",NA
"International Journal of Euro-Mediterranean Studies","2232-6022",NA,"X",NA
"International Journal of Finance and Economics","1099-1158",NA,"X",NA
"International Journal of Game Theory","1432-1270",NA,"X",NA
"International Journal of Gender and Entrepreneurship","1756-6266",NA,"X",NA
"International Journal of Gender and Entrepreneurship","1756-6274",NA,"X",NA
"International Journal of Intelligent Unmanned Systems","2049-6427",NA,"X",NA
"International Journal of Intelligent Unmanned Systems","2049-6435",NA,"X",NA
"International Journal of Market Research","1470-7853",NA,"X",NA
"International Journal of Monetary Economics and Finance","1752-0487",NA,"X",NA
"International Journal of Nonprofit and Voluntary Sector Marketing","1465-4520",NA,"X",NA
"International Journal of Nonprofit and Voluntary Sector Marketing","1479-103X",NA,"X",NA
"International Journal of Political Economy","1558-0970",NA,"X",NA
"International Journal of Product Development","1477-9056",NA,"X",NA
"International Journal of Product Development","1741-8178",NA,"X",NA
"International Journal of Revenue Management","1741-8186",NA,"X",NA
"International Journal of Services, Economics and Management","1753-0822",NA,"X",NA
"International Journal of Services, Economics and Management","1753-0830",NA,"X",NA
"International Journal of Sustainable Agricultural Management and Informatics","2054-5819",NA,"X",NA
"International Journal of Sustainable Agricultural Management and Informatics","2054-5827",NA,"X",NA
"International Journal of Sustainable Economy","1756-5812",NA,"X",NA
"International Journal of Technoentrepreneurship","1746-5370",NA,"X",NA
"International Journal of Technoentrepreneurship","1746-5389",NA,"X",NA
"International Journal of Technology and Globalisation","1741-8194",NA,"X",NA
"International Journal of the Economics of Business","1466-1829",NA,"X",NA
"International Marketing Review","0265-1335",NA,"X",NA
"International Organisations Research Journal","1996-7845",NA,"X",NA
"International Organisations Research Journal","2542-2081",NA,"X",NA
"International Organizations Law Review","1572-3739",NA,"X",NA
"International Organizations Law Review","1572-3747",NA,"X",NA
"International Review of Applied Economics","1465-3486",NA,"X",NA
"International Review of Environmental and Resource Economics","1932-1473",NA,"X",NA
"International Review of Finance","1468-2443",NA,"X",NA
"International Review of Retail, Distribution and Consumer Research","0959-3969",NA,"X",NA
"International Review of Retail, Distribution and Consumer Research","1466-4402",NA,"X",NA
"International Review on Public and Nonprofit Marketing","1865-1984",NA,"X",NA
"International Review on Public and Nonprofit Marketing","1865-1992",NA,"X",NA
"International Tax and Public Finance","1573-6970",NA,"X",NA
"Internet Research","1066-2243",NA,"X",NA
"Investigaciones de Historia Economica","2340-3373",NA,"X",NA
"Investment Analysts Journal","1029-3523",NA,"X",NA
"Investment Analysts Journal","2077-0227",NA,"X",NA
"Investment Management and Financial Innovations","1810-4967",NA,"X",NA
"Investment Management and Financial Innovations","1812-9358",NA,"X",NA
"Irish Studies in International Affairs","0332-1460",NA,"X",NA
"Irish Studies in International Affairs","2009-0072",NA,"X",NA
"ISRA International Journal of Islamic Finance","2289-4365",NA,"X",NA
"Japanese Economic Review","1468-5876",NA,"X",NA
"Journal for Labour Market Research","1867-8343",NA,"X",NA
"Journal Global Policy and Governance","2194-7740",NA,"X",NA
"Journal Global Policy and Governance","2194-7759",NA,"X",NA
"Journal of Accounting Research","1475-679X",NA,"X",NA
"Journal of Advanced Research in Law and Economics","2068-696X",NA,"X",NA
"Journal of Advanced Transportation","0197-6729",NA,"X",NA
"Journal of Advanced Transportation","2042-3195",NA,"X",NA
"Journal of African Economies","1464-3723",NA,"X",NA
"Journal of Agrarian Change","1471-0358",NA,NA,"X"
"Journal of Agribusiness in Developing and Emerging Economies","2044-0847",NA,"X",NA
"Journal of Agricultural and Food Industrial Organization","1542-0485",NA,"X",NA
"Journal of Agricultural Economics","1477-9552",NA,"X",NA
"Journal of Alternative Investments","1520-3255",NA,"X",NA
"Journal of Applied Econometrics","1099-1255",NA,"X",NA
"Journal of Asian Finance, Economics and Business","2288-4637",NA,"X",NA
"Journal of Asian Finance, Economics and Business","2288-4645",NA,"X",NA
"Journal of Asian Pacific Communication","0957-6851",NA,"X",NA
"Journal of Asian Pacific Communication","1569-9838",NA,"X",NA
"Journal of Banking Regulation","1750-2071",NA,"X",NA
"Journal of Behavioral and Experimental Economics","2214-8051",NA,"X",NA
"Journal of Benefit-Cost Analysis","2152-2812",NA,"X",NA
"Journal of Bioeconomics","1573-6989",NA,"X",NA
"Journal of Business and Economic Statistics","1537-2707",NA,"X",NA
"Journal of Business Cycle Research","2509-7970",NA,"X",NA
"Journal of Business Economics and Management","1611-1699",NA,"X","X"
"Journal of Business Economics and Management","2029-4433",NA,"X",NA
"Journal of Business Ethics","1573-0697",NA,"X",NA
"Journal of Business Valuation and Economic Loss Analysis","1932-9156",NA,"X",NA
"Journal of Central Banking Theory and Practice","2336-9205",NA,"X",NA
"Journal of Choice Modelling","1755-5345",NA,NA,"X"
"Journal of Commercial Biotechnology","1462-8732",NA,"X",NA
"Journal of Commercial Biotechnology","1478-565X",NA,"X",NA
"Journal of Common Market Studies","1468-5965",NA,"X",NA
"Journal of Comparative Asian Development","1533-9114",NA,"X",NA
"Journal of Comparative Asian Development","2150-5403",NA,"X",NA
"Journal of Comparative Economics","1095-7227",NA,"X",NA
"Journal of Competition Law and Economics","1744-6422",NA,"X",NA
"Journal of Competitiveness","1804-171X",NA,NA,"X"
"Journal of Consumer Culture","1469-5405",NA,"X",NA
"Journal of Consumer Culture","1741-2900",NA,"X",NA
"Journal of Consumer Policy","1573-0700",NA,"X",NA
"Journal of Consumer Research","1537-5277",NA,"X",NA
"Journal of Credit Risk","1755-9723",NA,"X",NA
"Journal of Cultural Economy","1753-0350",NA,NA,"X"
"Journal of Demographic Economics","2054-0906",NA,"X",NA
"Journal of Developmental Entrepreneurship","1793-706X",NA,"X",NA
"Journal of Distribution Science","1738-3110",NA,"X",NA
"Journal of Distribution Science","2093-7717",NA,"X",NA
"Journal of East Asian Studies","1598-2408",NA,"X",NA
"Journal of Eastern European and Central Asian Research","2328-8272",NA,"X",NA
"Journal of Eastern European and Central Asian Research","2328-8280",NA,"X",NA
"Journal of Econometric Methods","2156-6674",NA,"X",NA
"Journal of Economic Geography","1468-2710",NA,"X",NA
"Journal of Economic Growth","1573-7020",NA,"X",NA
"Journal of Economic History","1471-6372",NA,"X",NA
"Journal of Economic Interaction and Coordination","1860-7128",NA,"X",NA
"Journal of Economic Surveys","1467-6419",NA,"X",NA
"Journal of Economic Theory","1095-7235",NA,"X",NA
"Journal of Economics and Finance","1938-9744",NA,"X",NA
"Journal of Economics and Management Strategy","1530-9134",NA,"X",NA
"Journal of Economics/ Zeitschrift fur Nationalokonomie","1617-7134",NA,"X",NA
"Journal of Emerging Market Finance","0973-0710",NA,"X",NA
"Journal of Energy Markets","1756-3615",NA,"X",NA
"Journal of Enterprising Communities","1750-6204",NA,"X",NA
"Journal of Entrepreneurship","0973-0745",NA,"X",NA
"Journal of Entrepreneurship Education","1098-8394",NA,"X",NA
"Journal of Entrepreneurship Education","1528-2651",NA,"X",NA
"Journal of Environmental Economics and Management","1096-0449",NA,"X",NA
"Journal of Environmental Management and Tourism","2068-7729",NA,"X",NA
"Journal of European Real Estate Research","1753-9277",NA,"X",NA
"Journal of Evolutionary Economics","1432-1386",NA,"X",NA
"Journal of Family and Economic Issues","1573-3475",NA,"X",NA
"Journal of Family Business Strategy","1877-8585",NA,"X",NA
"Journal of Finance","1540-6261",NA,"X",NA
"Journal of Financial and Quantitative Analysis","1756-6916",NA,"X",NA
"Journal of Financial Counseling and Planning","1947-7910",NA,"X",NA
"Journal of Financial Economic Policy","1757-6393",NA,"X",NA
"Journal of Financial Intermediation","1096-0473",NA,"X",NA
"Journal of Financial Management of Property and Construction","1366-4387",NA,"X",NA
"Journal of Financial Management of Property and Construction","1759-8443",NA,"X",NA
"Journal of Financial Services Research","1573-0735",NA,"X",NA
"Journal of Fixed Income","1059-8596",NA,"X",NA
"Journal of Food Distribution Research","2643-3354",NA,"X",NA
"Journal of Futures Markets","1096-9934",NA,"X",NA
"Journal of Housing Economics","1096-0791",NA,"X",NA
"Journal of Human Resources","1548-8004",NA,"X",NA
"Journal of Industrial Ecology","1088-1980",NA,"X",NA
"Journal of Industrial Ecology","1530-9290",NA,"X",NA
"Journal of Industrial Economics","1467-6451",NA,"X",NA
"Journal of Innovation and Entrepreneurship","2192-5372",NA,"X",NA
"Journal of Innovation and Knowledge","2530-7614",NA,"X",NA
"Journal of International Business and Economics (discontinued)","2378-9174",NA,"X",NA
"Journal of International Business Studies","1478-6990",NA,"X",NA
"Journal of International Commerce, Economics and Policy","1793-9941",NA,"X",NA
"Journal of International Logistics and Trade","1738-2122",NA,"X",NA
"Journal of International Logistics and Trade","2508-7592",NA,"X",NA
"Journal of International Marketing","1069-031X",NA,"X",NA
"Journal of International Marketing","1547-7215",NA,"X",NA
"Journal of International Studies","2306-3483",NA,"X",NA
"Journal of Islamic Economics, Banking and Finance","2070-4666",NA,"X",NA
"Journal of Korea Trade","****-****",NA,NA,"X"
"Journal of Labor Economics","1537-5307",NA,"X",NA
"Journal of Law and Economics","1537-5285",NA,"X",NA
"Journal of Law, Economics, and Organization","1465-7341",NA,"X",NA
"Journal of Legal, Ethical and Regulatory Issues","1544-0036",NA,"X",NA
"Journal of Legal, Ethical and Regulatory Issues","1544-0044",NA,"X",NA
"Journal of Marketing","1547-7185",NA,"X",NA
"Journal of Marketing Research","1547-7193",NA,"X",NA
"Journal of Media Economics","1532-7736",NA,"X",NA
"Journal of Money, Credit and Banking","1538-4616",NA,"X",NA
"Journal of Operational Risk","1744-6740",NA,"X",NA
"Journal of Operational Risk","1755-2710",NA,"X",NA
"Journal of Pension Economics and Finance","1475-3022",NA,"X",NA
"Journal of Philosophical Economics: Reflections on Economic and Social Issues","1844-8208",NA,"X",NA
"Journal of Political Economy","1537-534X",NA,"X",NA
"Journal of Population Economics","1432-1475",NA,"X",NA
"Journal of Private Equity","1096-5572",NA,"X",NA
"Journal of Productivity Analysis","1573-0441",NA,"X",NA
"Journal of Public Budgeting, Accounting and Financial Management","1096-3367",NA,"X",NA
"Journal of Public Budgeting, Accounting and Financial Management","1945-1814",NA,"X",NA
"Journal of Public Economic Theory","1467-9779",NA,"X",NA
"Journal of Public Policy and Marketing","0743-9156",NA,"X",NA
"Journal of Public Policy and Marketing","1547-7207",NA,"X",NA
"Journal of Real Estate Finance and Economics","1573-045X",NA,"X",NA
"Journal of Regulatory Economics","1573-0468",NA,"X",NA
"Journal of Revenue and Pricing Management","1476-6930",NA,"X",NA
"Journal of Revenue and Pricing Management","1477-657X",NA,"X",NA
"Journal of Risk and Insurance","1539-6975",NA,"X",NA
"Journal of Risk and Uncertainty","1573-0476",NA,"X",NA
"Journal of Risk Model Validation","1753-9587",NA,"X",NA
"Journal of Social Entrepreneurship","1942-0676",NA,"X",NA
"Journal of Social Entrepreneurship","1942-0684",NA,"X",NA
"Journal of Southeast Asian Economies","2339-5206",NA,"X",NA
"Journal of Taxation","0022-4863",NA,"X",NA
"Journal of the Academy of Marketing Science","0092-0703",NA,"X",NA
"Journal of the Academy of Marketing Science","1552-7824",NA,"X",NA
"Journal of the Association of Environmental and Resource Economists","2333-5963",NA,"X",NA
"Journal of the Austrian Society of Agricultural Economics","1815-1027",NA,"X",NA
"Journal of the Austrian Society of Agricultural Economics","1815-8129",NA,"X",NA
"Journal of the Economic and Social History of the Orient","0022-4995",NA,"X",NA
"Journal of the Japanese and International Economies","1095-8681",NA,"X",NA
"Journal of the Knowledge Economy","1868-7873",NA,"X",NA
"Journal of the Royal Statistical Society. Series A, (Statistics in Society)","1467-985X",NA,"X",NA
"Journal of Time Series Econometrics","1941-1928",NA,"X",NA
"Journal of Transport Economics and Policy","1754-5951",NA,"X",NA
"Journal of Transport Geography","0966-6923",NA,NA,"X"
"Journal of Urban Economics","1095-9068",NA,"X",NA
"Journal of Wealth Management","1534-7524",NA,"X",NA
"Korean Economic Review","0254-3737",NA,NA,"X"
"Kyklos","1467-6435",NA,"X",NA
"Land Economics","1543-8325",NA,"X",NA
"Lecturas de Economia","2323-0622",NA,"X",NA
"Legal Issues of Economic Integration","1566-6573",NA,"X",NA
"Letters in Spatial and Resource Sciences","1864-404X",NA,"X",NA
"Macroeconomic Dynamics","1469-8056",NA,"X",NA
"Macroeconomics and Finance in Emerging Market Economies","1752-0843",NA,"X",NA
"Macroeconomics and Finance in Emerging Market Economies","1752-0851",NA,"X",NA
"Manchester Journal of International Economic Law","1742-3945",NA,"X",NA
"Manchester School","1467-9957",NA,"X",NA
"Marine Policy","0308-597X",NA,"X",NA
"Marine Resource Economics","2334-5985",NA,"X",NA
"Marketing Letters","0923-0645",NA,"X",NA
"Marketing Letters","1573-059X",NA,"X",NA
"Marketing Science","1526-548X",NA,"X",NA
"Mathematical Finance","1467-9965",NA,"X",NA
"Mathematics and Statistics","2332-2071",NA,"X",NA
"Mathematics and Statistics","2332-2144",NA,"X",NA
"Metroeconomica","1467-999X",NA,"X",NA
"Mir Rossii","1811-038X",NA,"X",NA
"Mir Rossii","1811-0398",NA,"X",NA
"MIS Quarterly Executive","1540-1960",NA,"X",NA
"MIS Quarterly Executive","1540-1979",NA,"X",NA
"Mondes En Developpement","1782-1444",NA,"X",NA
"NBER Macroeconomics Annual","0889-3365",NA,NA,"X"
"New Perspectives on Turkey","0896-6346",NA,"X",NA
"New Perspectives on Turkey","1305-3299",NA,"X",NA
"Nonprofit Policy Forum","2154-3348",NA,"X",NA
"Nurture","1994-1625",NA,"X",NA
"Nurture","1994-1633",NA,"X",NA
"Open Economies Review","1573-708X",NA,"X",NA
"Organizations and Markets in Emerging Economies","2029-4581",NA,"X",NA
"Organizations and Markets in Emerging Economies","2345-0037",NA,"X",NA
"Oxford Bulletin of Economics and Statistics","1468-0084",NA,"X",NA
"Oxford Economic Papers","1464-3812",NA,"X",NA
"Oxford Review of Economic Policy","1460-2121",NA,"X",NA
"Pacific Economic Review","1468-0106",NA,"X",NA
"Pakistan Journal of Commerce and Social Science","2309-8619",NA,"X",NA
"Peace Economics, Peace Science and Public Policy","1079-2457",NA,"X",NA
"Politica Economica","1973-8218",NA,"X",NA
"Politicka Ekonomie","2336-8225",NA,"X",NA
"Post-Communist Economies","1465-3958",NA,"X",NA
"Przeglad Wschodnioeuropejski","2081-1128",NA,"X",NA
"PSL Quarterly Review","2037-3643",NA,"X",NA
"Public Choice","1573-7101",NA,"X",NA
"Qualitative Research in Financial Markets","1755-4187",NA,"X",NA
"Quantitative Economics","1759-7331",NA,"X",NA
"Quarterly Journal of Economics","1531-4650",NA,"X",NA
"Quarterly Journal of Finance","2010-1406",NA,"X",NA
"RAND Journal of Economics","1756-2171",NA,"X",NA
"Real Estate Economics","1540-6229",NA,"X",NA
"Real Estate Management and Valuation","2300-5289",NA,"X",NA
"Real Estate Taxation","0093-5107",NA,"X",NA
"Recta","1575-605X",NA,"X",NA
"Region: Regional Studies of Russia, Eastern Europe, and Central Asia","2165-0659",NA,"X",NA
"Region: Regional Studies of Russia, Eastern Europe, and Central Asia","2166-4307",NA,"X",NA
"Regional Science and Urban Economics","1879-2308",NA,"X",NA
"Regional Science Inquiry","1791-7735",NA,"X",NA
"Regional Statistics","2063-9538",NA,"X",NA
"Regional Statistics","2064-8243",NA,"X",NA
"Regional Studies, Regional Science","2168-1376",NA,"X",NA
"Research in Economics","1090-9451",NA,"X",NA
"Resources, Conservation and Recycling","0921-3449",NA,"X",NA
"Resources, Conservation and Recycling","1879-0658",NA,"X",NA
"Resources, Conservation and Recycling: X","2590-289X",NA,"X",NA
"REVESCO Revista de Estudios Cooperativos","1885-8031",NA,"X",NA
"Review of Asset Pricing Studies","2045-9939",NA,"X",NA
"Review of Corporate Finance Studies","2046-9136",NA,"X",NA
"Review of Economic Dynamics","1096-6099",NA,"X",NA
"Review of Economic Studies","1467-937X",NA,"X",NA
"Review of Economics and Statistics","1530-9142",NA,"X",NA
"Review of Economics of the Household","1573-7152",NA,"X",NA
"Review of Environmental Economics and Policy","1750-6824",NA,"X",NA
"Review of Finance","1573-692X",NA,"X",NA
"Review of Financial Economics","1873-5924",NA,"X",NA
"Review of Financial Studies","1465-7368",NA,"X",NA
"Review of Income and Wealth","1475-4991",NA,"X",NA
"Review of Industrial Organization","1573-7160",NA,"X",NA
"Review of International Organizations","1559-744X",NA,"X",NA
"Review of International Political Economy","1466-4526",NA,"X",NA
"Review of Keynesian Economics","2049-5331",NA,"X",NA
"Review of Network Economics","1446-9022",NA,"X",NA
"Review of Pacific Basin Financial Markets and Policies","1793-6705",NA,"X",NA
"Review of Social Economy","1470-1162",NA,"X",NA
"Revista de Historia Economica - Journal of Iberian and Latin American Economic History","2041-3335",NA,"X",NA
"Revista Espanola de Financiacion y Contabilidad","0210-2412",NA,"X",NA
